발생지시도,발생지시군구,가해자법규위반,경도,위도
서울,강서구,안전운전 의무 불이행,126.8120896,37.55524762
서울,강북구,안전운전 의무 불이행,127.040088,37.62850856
서울,중랑구,과속,127.0875811,37.60030083
서울,서대문구,안전운전 의무 불이행,126.9498744,37.58340697
서울,서대문구,안전운전 의무 불이행,126.9132284,37.57009432
서울,금천구,안전운전 의무 불이행,126.8983043,37.472046
서울,용산구,안전운전 의무 불이행,127.0040669,37.53882303
서울,동작구,안전운전 의무 불이행,126.9046023,37.48503041
서울,관악구,신호위반,126.9341594,37.48486019
서울,동작구,안전거리 미확보,126.9608994,37.51153018
서울,강동구,기타,127.1456788,37.54433537
서울,동대문구,안전운전 의무 불이행,127.0628492,37.56764614
서울,서초구,안전운전 의무 불이행,127.0159144,37.48859454
서울,서초구,보행자 보호의무 위반,127.0042829,37.50618589
서울,양천구,안전운전 의무 불이행,126.880747,37.53573498
서울,서초구,안전운전 의무 불이행,126.9872489,37.47562022
서울,중랑구,안전운전 의무 불이행,127.0811627,37.59538392
서울,서대문구,안전거리 미확보,126.9429027,37.56219988
서울,마포구,안전운전 의무 불이행,126.9392176,37.54506765
서울,금천구,신호위반,126.897314,37.46439743
서울,영등포구,안전운전 의무 불이행,126.936177,37.5219065
서울,강서구,안전거리 미확보,126.8274612,37.56315983
서울,금천구,보행자 보호의무 위반,126.8981752,37.47122511
서울,은평구,기타,126.9269472,37.61295197
서울,서초구,신호위반,127.0413621,37.48548723
서울,강남구,안전운전 의무 불이행,127.04613,37.49572707
서울,동대문구,신호위반,127.0607729,37.57798592
서울,성동구,안전운전 의무 불이행,127.0397864,37.55052297
서울,중구,안전운전 의무 불이행,126.9981446,37.56618101
서울,송파구,안전운전 의무 불이행,127.1316235,37.49973821
서울,강동구,보행자 보호의무 위반,127.1393553,37.55046346
서울,구로구,과속,126.8449759,37.47533177
서울,금천구,신호위반,126.9030008,37.47065289
서울,동대문구,신호위반,127.0306795,37.57404209
서울,성동구,기타,127.0517364,37.53623744
서울,서대문구,안전운전 의무 불이행,126.9154433,37.5829891
서울,양천구,안전운전 의무 불이행,126.8279792,37.52438696
서울,동대문구,안전운전 의무 불이행,127.0393866,37.57502009
서울,강남구,안전운전 의무 불이행,127.0754175,37.49793613
서울,강서구,과속,126.8469953,37.54863168
서울,노원구,안전운전 의무 불이행,127.0790644,37.68023755
서울,성동구,안전운전 의무 불이행,127.0344514,37.5455266
서울,강북구,신호위반,127.0338454,37.63547845
서울,송파구,안전운전 의무 불이행,127.118364,37.51532571
서울,영등포구,과속,126.9254288,37.52600092
서울,송파구,신호위반,127.1397115,37.50701911
서울,서대문구,안전운전 의무 불이행,126.9456266,37.58760538
서울,강서구,안전운전 의무 불이행,126.815953,37.55247591
서울,강서구,과속,126.8050107,37.57262005
서울,중랑구,안전운전 의무 불이행,127.0791519,37.61450329
서울,관악구,안전운전 의무 불이행,126.9139344,37.48497161
서울,성북구,안전운전 의무 불이행,127.0052275,37.6166411
서울,강남구,안전운전 의무 불이행,127.0791554,37.49913029
서울,서대문구,안전운전 의무 불이행,126.9464872,37.59221527
서울,강서구,안전운전 의무 불이행,126.813932,37.58027052
서울,구로구,보행자 보호의무 위반,126.8594813,37.49311389
서울,관악구,안전운전 의무 불이행,126.92682,37.49207172
서울,서초구,안전운전 의무 불이행,126.9854384,37.5054383
서울,송파구,안전운전 의무 불이행,127.1153075,37.52660079
서울,송파구,신호위반,127.0926184,37.51159822
서울,강북구,신호위반,127.0284069,37.63518644
서울,강남구,신호위반,127.0429036,37.50222064
서울,영등포구,신호위반,126.8981497,37.5293713
서울,송파구,안전운전 의무 불이행,127.0915297,37.52450191
서울,서초구,안전운전 의무 불이행,127.0215284,37.48274234
서울,강동구,중앙선 침범,127.1208883,37.53976062
서울,마포구,과속,126.9110268,37.54840059
서울,동대문구,중앙선 침범,127.0588073,37.59441915
서울,관악구,안전운전 의무 불이행,126.933943,37.48670874
서울,성동구,안전운전 의무 불이행,127.0544268,37.55013747
서울,강서구,신호위반,126.8200481,37.54846245
서울,노원구,신호위반,127.0706354,37.64528944
서울,서대문구,안전운전 의무 불이행,126.9405643,37.59507164
서울,마포구,신호위반,126.9399942,37.54868575
서울,성북구,안전운전 의무 불이행,127.0621167,37.61152096
서울,용산구,안전운전 의무 불이행,127.0011882,37.52237022
서울,양천구,과속,126.8310143,37.50640427
서울,서초구,안전운전 의무 불이행,127.0877159,37.46275441
서울,성동구,안전운전 의무 불이행,127.0432857,37.55591763
서울,성북구,안전운전 의무 불이행,127.0414257,37.6136777
서울,강서구,신호위반,126.8706056,37.54784052
서울,관악구,신호위반,126.9561879,37.48561262
서울,관악구,중앙선 침범,126.9388052,37.48375565
서울,구로구,과속,126.8444429,37.49620416
서울,서초구,안전운전 의무 불이행,127.0064056,37.49138547
서울,은평구,신호위반,126.9194708,37.62876092
서울,동대문구,과속,127.0628854,37.5903332
서울,관악구,안전운전 의무 불이행,126.9269693,37.49325322
서울,서초구,안전운전 의무 불이행,126.9835923,37.50078826
서울,강남구,안전운전 의무 불이행,127.0977693,37.48581892
